2.0412,1.0044,1.944,NaN,1.8792,1.0368,1.782,NaN,NaN,NaN,1.458,0.8424,NaN,NaN,NaN,0.8748,NaN,NaN,NaN,0.81,1.1664,NaN,0.81,0.9396,1.0368,1.3932,NaN,NaN,1.1664,1.296,0.8748,1.1988,1.0368,0.972,0.972,1.0044,NaN,1.296,1.782,0.81,NaN,NaN,NaN,0.7776,1.0044,NaN,0.8424,NaN,1.6524,NaN
3.9528,3.5964,4.4388,NaN,4.3416,NaN,3.564,NaN,3.888,3.3048,4.1796,3.6612,2.7216,3.7584,2.916,NaN,1.5228,1.8792,3.078,2.7216,2.1708,2.0088,2.8836,2.6568,3.6288,3.1752,3.3696,3.8556,3.0456,3.2076,2.916,3.0456,3.4992,3.6936,2.2356,3.1104,2.3328,2.7864,3.0132,3.078,3.1752,2.916,2.8188,2.3652,2.4624,3.4992,3.3372,2.8836,3.3372,3.4992
4.212,3.7908,3.7908,3.1752,3.1752,3.6288,3.2076,3.3372,3.8556,3.888,3.6612,3.7584,3.24,3.3696,3.1104,3.5316,3.24,3.5964,3.078,2.9484,3.0132,3.2076,2.9484,3.6288,3.1104,3.402,3.1752,3.3372,2.8512,3.1752,3.0456,3.1752,2.6244,3.0132,2.754,3.564,2.6892,2.9484,3.078,2.8512,2.3652,3.1104,2.6892,2.592,3.078,2.592,2.8188,2.1384,2.0412,2.3004
1.7496,2.2356,2.5596,1.62,2.0736,2.0412,2.0736,2.43,1.7496,1.9764,2.268,2.0088,1.62,1.8144,1.7496,1.7172,1.5876,0.8424,2.268,1.8468,1.6848,1.6524,1.8468,1.9764,1.8144,2.0736,2.0736,1.9116,2.2032,2.3976,2.4624,2.2356,2.1384,2.1384,2.4624,2.3976,2.2032,2.3652,2.2356,2.2032,2.2356,2.4948,2.268,2.5596,2.3976,2.3004,2.3328,1.782,2.106,2.268
1.8468,1.5228,1.6848,1.62,1.5228,1.5228,1.5876,1.9116,1.7496,1.4256,1.7496,1.6524,1.3284,1.296,0.9072,1.2312,1.3608,1.1988,1.2312,1.8144,1.4904,1.134,1.1664,1.944,1.944,1.7172,1.8468,2.2032,2.0088,1.6524,1.782,1.9116,1.782,1.5552,1.4256,1.8792,1.4256,2.0412,1.7496,1.6848,1.782,2.1384,1.9116,1.944,2.0412,1.782,1.9764,1.6524,2.0088,1.782
1.134,NaN,NaN,0.81,NaN,1.0692,NaN,0.9396,0.9072,1.0044,1.8468,0.8748,0.972,0.7452,1.5552,1.4256,NaN,1.944,0.8424,1.0692,1.6848,NaN,NaN,1.62,1.2312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7452,0.8424,NaN,NaN,0.7776,NaN,NaN,NaN,NaN,1.4904,NaN,NaN,1.0044,NaN,NaN,NaN,NaN,1.1016
1.7172,NaN,1.1988,2.106,1.6524,3.4668,NaN,1.2312,NaN,NaN,NaN,1.8792,1.4256,2.43,1.5552,NaN,NaN,1.3608,1.5876,1.9116,NaN,NaN,4.212,4.212,3.6288,NaN,1.8792,1.8792,1.3284,1.8792,2.3652,2.3328,1.3608,2.2356,NaN,1.6848,1.1988,1.8792,3.4992,NaN,1.0368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81,NaN
1.1988,NaN,2.2356,1.782,2.8188,3.1428,2.3652,3.0132,2.8188,1.8792,1.8792,3.6936,1.8792,3.0456,2.8188,1.2312,1.782,2.5596,2.6244,0.972,1.9116,1.6848,2.916,1.7172,2.0736,3.402,2.916,1.9764,NaN,NaN,NaN,1.9116,3.3048,3.5964,3.0456,1.296,NaN,NaN,1.8792,2.7216,2.3652,3.2724,2.6244,2.5272,2.0088,3.3372,2.2356,2.1384,3.1752,1.8468
3.1428,3.9852,3.24,3.402,3.2724,3.078,3.2724,3.1104,2.9484,2.6892,2.4624,2.7864,2.5272,2.8188,2.6892,3.0456,2.592,2.8188,3.2724,3.2076,2.754,2.9484,3.1428,2.8836,3.0456,2.7864,3.1104,3.078,2.6568,2.9484,3.3048,2.7864,2.6244,3.1752,2.8836,2.9808,3.3372,2.5596,2.916,3.078,3.0456,3.1104,2.592,2.1708,3.0456,2.43,2.592,2.3976,2.4948,2.2032
0.7452,NaN,0.7776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0692,0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0044,NaN,NaN,NaN,1.3932,1.3608,0.81,0.8748,NaN,NaN,0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7776,0.7452,NaN
