1.458,1.0368,1.4256,1.8144,1.782,1.134,1.3608,1.8144,1.782,1.0044,2.0412,NaN,1.9116,1.296,1.1016,1.4904,2.0736,2.3652,1.6848,1.2312,1.4904,1.9116,2.0736,1.2312,0.7452,1.0044,1.3932,1.62,1.3284,NaN,1.3932,1.782,2.0412,1.458,1.296,1.458,1.296,1.6524,1.3932,NaN,1.296,1.3608,NaN,NaN,1.1016,0.81,NaN,1.0368,1.1988,1.3284
2.268,1.458,1.458,0.7452,0.81,NaN,NaN,NaN,NaN,NaN,NaN,1.296,1.1664,NaN,NaN,1.296,NaN,NaN,1.458,0.8424,1.0368,0.972,1.7172,NaN,1.0692,NaN,0.7776,NaN,0.7776,NaN,NaN,1.0692,1.458,1.3932,1.3284,1.3608,1.1016,0.972,0.7452,0.9396,0.9396,1.1664,0.8748,0.8748,1.134,0.8424,1.134,NaN,1.2636,1.4256
0.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7776,NaN,0.81,0.8424,NaN,NaN,0.7776,NaN,NaN,0.81,0.972,0.9072,0.9396,0.8424,NaN,0.81,0.7452,0.7452,0.7776,NaN,NaN,1.0692,0.972,0.8748,0.8424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7452,NaN,0.7452,0.8424,NaN,NaN,NaN,0.8424,NaN,NaN,NaN,NaN,NaN,NaN,0.9072,NaN,NaN,NaN
2.4948,2.3652,1.134,2.6244,2.8512,1.134,1.8144,2.3652,2.754,1.944,1.9116,0.9396,1.6848,2.1708,1.4256,1.7496,1.782,0.7776,0.7452,0.7776,NaN,2.1708,2.754,2.1384,3.24,1.4904,NaN,NaN,0.9396,1.458,2.9484,2.4948,2.6568,NaN,1.9116,2.7216,2.7864,3.0456,1.4904,NaN,NaN,2.7864,2.6244,NaN,NaN,1.0044,NaN,1.1664,1.296,NaN
1.1988,1.944,1.4904,NaN,NaN,NaN,NaN,1.0368,NaN,1.134,0.7452,0.9072,1.6524,0.7452,1.5228,1.4904,1.3932,1.134,0.9072,0.81,0.972,1.3932,1.5552,1.5552,1.296,0.8424,1.5876,1.1988,1.296,1.0044,1.2312,1.3284,NaN,NaN,NaN,NaN,0.8424,NaN,1.0692,1.0368,NaN,NaN,0.7452,0.9072,NaN,0.7452,0.8424,0.8748,1.1016,1.1016
1.3608,1.3608,1.7496,1.6524,1.3284,1.3284,1.3608,1.3932,1.4256,1.2312,1.5876,1.458,1.2636,1.62,1.3932,1.4904,1.4904,1.6524,1.4256,1.4904,1.458,1.7172,1.5552,1.3284,1.4256,1.4256,1.134,1.4256,1.296,1.1664,1.3932,1.2312,1.4904,1.134,1.6848,1.2312,1.296,1.296,1.3284,1.2312,0.9396,1.2636,1.3932,1.2312,1.4256,1.8144,1.0368,1.3284,1.4256,1.5228
2.1384,1.944,2.2032,2.268,2.3652,1.9764,2.3652,2.268,2.6244,1.8468,2.3652,2.0412,2.0088,2.3004,2.3328,2.0412,2.5272,1.8144,2.3004,2.1708,2.2356,2.0088,2.592,2.3004,2.4624,2.2356,2.2032,2.1384,2.0736,2.3004,2.4948,2.106,1.9116,2.1708,2.0736,2.1384,2.5596,2.106,2.2032,2.43,1.9764,2.43,1.7496,1.8792,2.268,2.1384,2.1708,2.0736,2.4624,2.1708
0.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7776,0.9396,0.7776,NaN,NaN,0.7452,NaN,NaN,0.81,NaN,0.9072,NaN,0.9072,0.81,NaN,NaN,NaN,NaN,NaN,0.7776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81,NaN,NaN,NaN,0.8424,NaN,NaN,NaN,NaN,0.7452,NaN
2.43,3.9852,4.1796,3.6936,2.592,2.592,2.7216,4.698,3.8556,3.7584,2.5272,2.3004,3.9852,4.1796,2.5272,2.4948,2.2032,2.0736,4.1148,2.2356,4.374,4.1796,1.8144,3.5964,2.4948,4.1148,2.1384,3.9852,2.1708,3.0132,3.888,3.24,3.3372,2.8512,2.0736,2.0736,3.4344,3.3372,3.3696,1.8792,3.1104,3.726,3.0456,2.8188,3.1428,3.078,2.754,3.0132,1.6848,2.6568
0.8748,0.9072,1.134,1.3284,1.3932,1.2636,1.2312,1.134,1.0692,1.1988,1.0368,0.8748,1.0692,1.0692,1.2312,1.134,0.972,0.9396,0.972,1.0368,0.972,1.1016,1.0692,0.8424,0.972,0.81,0.9072,0.81,0.8424,0.9396,0.81,0.972,1.2312,1.134,1.1988,1.0368,1.1664,1.1988,1.0368,1.0044,1.1988,1.134,0.8424,1.3284,1.0368,1.0368,1.296,1.0368,1.2636,1.1664
1.8144,1.62,1.4256,1.944,1.5876,1.6524,1.8144,2.106,1.62,1.134,1.6524,1.3608,1.944,1.2636,1.5552,1.7172,1.3608,1.782,1.3932,1.8144,1.9764,1.3284,1.3608,1.3932,1.3284,1.5552,1.4904,1.944,1.8792,1.6524,1.1664,NaN,NaN,NaN,1.0044,NaN,0.972,NaN,NaN,1.2636,NaN,NaN,0.81,NaN,1.1016,NaN,1.3284,NaN,NaN,NaN
0.972,1.7172,0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.3932,1.6848,1.296,NaN,0.9072,0.8748,1.4904,1.296,1.1016,0.9396,1.3608,1.134,1.62,0.8748,1.4904,1.3932,NaN,0.8424,0.9072,0.8424,1.1664,1.4256,1.134,1.1016,1.134,1.2312,1.2636,1.2312,1.296,1.0044,1.296,1.5876,1.4256,NaN,1.5876,1.62,1.2312,NaN,1.4256,1.296,NaN,0.8748,NaN,NaN,1.5228,1.0368,NaN,NaN,1.7496,NaN
1.62,1.5552,2.5272,1.8144,1.3932,1.0044,1.9764,1.296,1.62,0.972,1.5876,1.6524,2.3328,1.5228,1.5876,1.9116,1.62,1.3932,1.8144,1.458,NaN,1.944,1.782,1.5876,1.8468,1.7496,1.8144,1.7172,1.5552,1.62,1.1988,1.134,1.782,1.3932,1.3284,1.5228,1.4256,NaN,1.1016,0.8748,0.81,0.81,1.2312,1.134,1.296,1.1988,1.0044,NaN,0.8424,0.972
