2.4948,NaN,1.458,2.5596,2.4948,2.268,1.2636,2.4948,2.0412,1.9764,1.6848,1.8144,1.9764,1.8144,2.3004,1.5228,1.458,1.6524,1.5228,1.7172,1.782,1.8468,1.8468,NaN,1.134,2.8512,2.268,2.0736,1.6524,1.4256,1.5228,1.8468,1.6524,1.8792,2.5272,1.1664,1.3932,1.0368,1.134,1.62,0.7776,1.7172,1.9764,0.9072,NaN,0.7452,NaN,NaN,0.7452,0.972
0.8424,NaN,NaN,NaN,2.5272,NaN,NaN,NaN,NaN,NaN,NaN,1.3932,NaN,2.1384,NaN,NaN,NaN,NaN,2.6568,0.9396,2.1708,NaN,2.3328,NaN,NaN,NaN,NaN,2.0736,2.754,1.9116,NaN,NaN,NaN,3.3372,NaN,NaN,NaN,2.7216,NaN,NaN,NaN,NaN,3.1428,NaN,NaN,1.5876,NaN,2.8836,NaN,NaN
3.6288,NaN,NaN,5.1192,3.8232,3.9852,4.4064,1.7172,3.9852,2.7864,3.1752,3.4344,NaN,4.1148,3.6288,4.0824,4.8276,2.2356,2.9484,3.2076,2.9808,3.564,2.106,1.5552,2.1384,2.7216,2.9484,2.6568,3.2076,2.43,3.3696,2.592,2.9808,2.6244,2.7216,1.7172,2.6892,2.9484,2.5596,2.4624,1.7172,3.0456,2.8836,NaN,3.1752,2.4948,2.2032,2.754,2.6244,2.5272
1.8792,1.7496,1.296,NaN,1.9764,1.3932,1.2312,1.3932,1.62,1.1988,1.4904,1.4256,1.3932,1.0692,0.7776,1.6848,1.62,2.8512,0.9396,1.3932,1.6848,1.296,1.0692,1.5876,1.5876,1.3284,1.5876,1.5228,1.5552,1.0044,1.0692,1.0044,1.3284,0.972,1.3932,1.4904,1.0044,1.8144,0.8424,0.8748,NaN,1.0692,0.9072,0.8748,1.0044,1.0368,0.9072,NaN,NaN,1.1016
7.7112,7.5168,7.8084,7.8732,7.0308,7.29,7.3224,6.9984,6.7716,1.782,6.48,5.0868,5.994,6.2532,NaN,NaN,6.0588,3.9852,6.0588,6.2532,6.3828,6.1884,NaN,5.7348,NaN,3.564,NaN,1.9116,NaN,6.0912,2.1708,0.972,3.3372,0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5316,NaN,NaN,2.916,2.3652,3.3372,NaN,2.592,2.8188,2.0412,2.2356,2.3976,2.7864,1.7496,NaN,NaN,1.62,1.8792,2.6244,2.4948,0.7776,1.7496,1.6848,1.4256,1.0692,0.7452,NaN,NaN,3.402,NaN,NaN,2.754,NaN,NaN,4.3092,NaN,NaN,NaN,NaN,NaN,2.3328,NaN,NaN,2.6244,3.0132,1.3608,2.0412,1.5228,2.916,NaN
3.564,6.156,1.458,1.7172,NaN,3.6936,NaN,1.296,NaN,NaN,NaN,1.1988,2.3976,0.7776,1.4256,NaN,NaN,1.4256,1.9116,NaN,NaN,NaN,1.0368,NaN,2.5596,1.0692,2.43,2.6244,NaN,2.0412,NaN,1.0044,1.5876,NaN,0.8424,NaN,2.4624,1.2636,1.8792,2.106,2.3328,1.9764,1.1016,0.9396,NaN,NaN,1.8144,2.3652,3.1752,0.7452
2.8188,2.6568,2.8188,3.1104,2.7216,2.9808,2.4624,2.7216,2.6244,2.7216,2.592,2.2356,2.8188,2.5596,2.4948,3.0456,2.7864,2.3652,2.5272,2.4948,2.6892,2.3004,2.916,2.3328,2.2356,2.3328,2.2032,2.6568,2.3976,2.7216,4.9572,2.6244,3.1428,2.7216,2.4624,1.3932,2.268,2.0736,1.4904,1.8468,1.4904,1.134,1.8468,1.5228,1.7496,1.5228,1.3932,0.972,1.7496,1.782
10.9836,15.5844,7.8408,12.3444,5.9292,11.664,9.9792,7.6788,8.7804,10.9188,8.5212,6.804,12.2796,5.7024,NaN,7.4844,8.5536,9.3636,NaN,8.6832,NaN,7.776,5.6376,6.0264,7.5816,9.5904,10.4004,5.8644,NaN,NaN,8.6508,9.6228,9.1692,2.268,NaN,13.608,10.4004,NaN,8.5536,NaN,NaN,8.2944,NaN,8.6832,7.938,NaN,NaN,1.9116,9.0396,NaN
0.7452,NaN,NaN,NaN,NaN,0.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2636,NaN,NaN,0.7776,NaN,NaN,NaN,0.8424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0368,NaN,NaN,NaN
5.8968,NaN,1.0692,0.8424,NaN,NaN,NaN,NaN,NaN,0.81,NaN,NaN,NaN,1.0692,NaN,NaN,NaN,NaN,NaN,4.0824,3.9528,NaN,3.4668,NaN,1.944,2.106,3.4668,1.0368,2.268,2.3004,1.296,2.592,3.3048,1.6524,0.7452,0.7776,2.5596,0.972,1.1988,2.6892,1.5876,3.3048,NaN,3.1104,NaN,1.782,NaN,2.106,0.81,1.3932
0.8424,1.296,0.7776,3.24,NaN,NaN,NaN,0.7776,1.1016,1.62,1.8468,NaN,2.1708,NaN,1.8468,1.7496,2.0736,NaN,1.1664,NaN,1.2636,NaN,NaN,NaN,NaN,NaN,1.0692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.62,1.458,1.0368,1.7172,NaN,2.0736,0.81,1.2312,1.134,0.8424,NaN,2.106,1.4256,1.782,1.5876
4.05,4.536,3.3696,2.9484,2.5272,3.0456,2.8512,1.0692,1.6848,1.1664,1.7496,NaN,NaN,0.9396,0.9072,NaN,NaN,NaN,NaN,NaN,NaN,1.2312,0.972,NaN,NaN,NaN,0.9072,NaN,0.8424,0.7452,0.7776,NaN,NaN,NaN,NaN,0.8748,0.7776,1.0692,0.81,NaN,1.1016,0.8748,NaN,NaN,NaN,NaN,1.296,NaN,NaN,NaN
1.2636,NaN,0.81,NaN,NaN,1.3608,NaN,0.8748,1.0044,1.3932,NaN,NaN,NaN,0.7776,NaN,NaN,NaN,0.9072,0.9396,1.3284,1.6848,0.8748,NaN,0.9072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0044,NaN,NaN,NaN,1.2636,NaN
